1)    ,111101,adjunct al procurorului general
2)    ,111102,ambasador
3)    ,111103,chestor Parlament
4)    ,111104,comandant unic aviaţie
5)    ,111105,comisar general
6)    ,111106,comisar general adjunct
7)    ,111107,senator
8)    ,111108,guvernator
9)    ,111109,preşedinte Academie
10)  ,111110,preşedinte Înalta Curte de Casaţie şi Justiţie
11)  ,111111,preşedinte curte de apel
12)  ,111112,preşedinte Curtea de Conturi a României
13)  ,111113,preşedinte de judecătorie
14)  ,111114,preşedinte Camera Deputaţilor
15)  ,111115,"preşedinte secţie (la Înalta Curte de Casaţie şi Justiţie, la curtea de apel, tribunale şi judecătorii)"
16)  ,111116,preşedinte tribunal
17)  ,111117,Preşedintele României
18)  ,111118,prim-procuror
19)  ,111119,prim-procuror adjunct
20)  ,111120,prim-adjunct al procurorului general
21)  ,111121,prim-ministru 
22)  ,111122,procuror general
23)  ,111123,procuror şef de secţie
24)  ,111124,procuror şef de secţie adjunct
25)  ,111125,secretar general al Guvernului
26)  ,111126,secretar Parlament
27)  ,111127,secretar de stat 
28)  ,111128,"vicepreşedinte (la Înalta Curte de Casaţie şi Justiţie, Curtea de Apel, tribunale şi judecătorii)"
29)  ,111129,inspector-şef al Inspecţiei Judiciare de pe lângă Plenul Consiliului Superior al Magistraturii
30)  ,111130,membru al Consiliului Superior al Magistraturii
31)  ,111131,secretar general adjunct al Consiliului Superior al Magistraturii
32)  ,111132,inspector în cadrul Inspecţiei Judiciare pentru judecători/ procurori de pe lângă Plenul Consiliului Superior al Magistraturii
33)  ,111133,inspector general judecătoresc şef
34)  ,111134,ministru 
35)  ,111135,ministru consilier
36)  ,111136,ministru de stat
37)  ,111137,ministru plenipotenţiar
38)  ,111138,deputat
39)  ,111139,preşedinte Senat
40)  ,111140,subsecretar de stat
41)  ,111201,consilier diplomatic
42)  ,111202,consilier guvernamental
43)  ,111203,consilier şi consultant juridic
44)  ,111204,consilier instituţii publice
45)  ,111205,consilier al ministrului
46)  ,111206,consul general
47)  ,111207,director instituţie publică
48)  ,111208,director adjunct instituţie publică
49)  ,111209,director de cabinet
50)  ,111210,director general instituţie publică 
51)  ,111211,consilier economic
52)  ,111212,inspector de stat şef
53)  ,111213,inspector-şef în administraţia publică
54)  ,111214,magistrat-asistent-şef
